timestamp_us,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_x,adxl_y,adxl_z,altitude
161654532,3867,1018,-209,-437,-973,-487,9,-19,-9,376.96732
161659532,3907,1012,-241,-391,-936,-462,9,-19,-9,376.9381
161667532,3941,1041,-287,-300,-817,-427,11,-21,-9,376.82602
161669532,3941,1041,-287,-300,-817,-427,11,-21,-9,376.82602
161674532,3918,1061,-235,-260,-754,-426,11,-21,-9,376.87918
161679532,3899,1084,-216,-230,-711,-430,11,-21,-9,376.9042
161684532,3919,1127,-250,-214,-688,-448,11,-21,-9,376.90005
161689532,3940,1149,-247,-197,-666,-471,10,-17,-10,376.9329
161694532,3897,1156,-236,-182,-632,-500,10,-17,-10,377.0351
161699532,3815,1152,-165,-166,-610,-531,10,-17,-9,377.142
161704532,3720,1202,-97,-157,-639,-564,10,-17,-9,377.19986
161709532,3727,1237,-91,-155,-716,-597,12,-19,-9,377.27234
161714532,3729,1242,-122,-142,-793,-629,12,-19,-9,377.25357
161719532,3753,1264,-170,-121,-862,-661,14,-21,-10,377.2442
161724532,3736,1314,-265,-92,-917,-683,14,-21,-10,377.2588
161729532,3745,1374,-284,-55,-984,-702,12,-20,-10,377.26035
161734532,3753,1451,-374,-14,-1059,-712,12,-20,-10,377.26974
161739532,3707,1505,-438,31,-1128,-719,12,-19,-9,377.28644
161744532,3736,1543,-525,87,-1180,-732,12,-19,-9,377.29843
161749532,3772,1612,-641,135,-1209,-744,12,-22,-8,377.29425
161754532,3747,1640,-723,184,-1200,-756,12,-22,-8,377.30103
161759532,3715,1676,-812,235,-1154,-770,14,-22,-12,377.3266
161767532,3608,1676,-888,315,-1033,-788,14,-22,-12,377.32086
161769532,3608,1676,-888,315,-1033,-788,13,-17,-12,377.29007
161774532,3567,1693,-942,343,-974,-796,13,-17,-12,377.26193
161779532,3553,1733,-919,368,-920,-804,13,-19,-14,377.19986
161784532,3572,1770,-930,383,-866,-812,13,-19,-14,377.20667
161789532,3571,1797,-928,399,-806,-826,13,-16,-12,377.24316
161794532,3536,1818,-877,407,-744,-841,13,-16,-12,377.2682
161799532,3512,1844,-811,421,-690,-866,15,-18,-11,377.28903
161804532,3474,1871,-726,434,-658,-890,15,-18,-11,377.32086
161809532,3439,1904,-652,433,-659,-911,15,-18,-10,377.3563
161814532,3429,1970,-615,436,-695,-929,15,-19,-10,377.32816
161819532,3441,2025,-619,444,-742,-947,15,-19,-10,377.31824
161824532,3387,2068,-598,454,-802,-953,14,-18,-12,377.33337
161829532,3373,2051,-599,465,-868,-952,14,-18,-12,377.34015
161834532,3326,2067,-603,480,-942,-936,18,-18,-9,377.3323
161839532,3269,2087,-585,498,-1029,-910,18,-18,-9,377.28903
161844532,3297,2087,-695,512,-1105,-876,17,-16,-14,377.25357
161849532,3290,2107,-762,523,-1161,-829,17,-16,-14,377.2249
161854532,3264,2092,-879,547,-1207,-776,13,-14,-11,377.18527
161859532,3268,2101,-938,556,-1241,-710,13,-14,-11,377.1498
161867532,3308,2076,-1222,578,-1269,-564,15,-17,-12,377.16858
161869532,3308,2076,-1222,578,-1269,-564,15,-17,-12,377.1498
161874532,3349,2041,-1315,576,-1244,-481,16,-19,-15,377.16962
161879532,3367,2012,-1361,573,-1204,-401,16,-19,-15,377.14722
161884532,3365,2004,-1408,558,-1156,-328,16,-17,-14,377.15244
161889532,3384,1988,-1443,539,-1108,-263,16,-17,-14,377.15244
161894532,3419,1944,-1448,513,-1066,-218,13,-18,-16,377.16962
161899532,3467,1912,-1488,479,-1032,-188,13,-18,-16,377.2223
161904532,3517,1920,-1518,446,-989,-172,15,-19,-14,377.26715
161909532,3514,1894,-1466,401,-930,-173,15,-19,-14,377.27966
161914532,3455,1871,-1447,359,-888,-186,14,-20,-18,377.3297
161919532,3456,1846,-1407,307,-875,-213,14,-20,-18,377.34692
161924532,3451,1833,-1375,262,-875,-249,15,-18,-15,377.34015
161929532,3481,1829,-1406,213,-885,-290,15,-18,-15,377.35214
161934532,3481,1873,-1405,165,-875,-331,16,-19,-16,377.3323
161939532,3462,1894,-1435,125,-848,-378,16,-19,-16,377.29947
161944532,3482,1856,-1459,86,-817,-422,16,-17,-16,377.27966
161949532,3466,1868,-1442,55,-789,-462,15,-17,-16,377.30103
161954532,3497,1882,-1483,25,-764,-492,15,-17,-16,377.26193
161959532,3478,1891,-1471,-3,-754,-518,14,-17,-20,377.26974
161967532,3486,1905,-1509,-40,-724,-567,14,-18,-14,377.2682
161969532,3486,1905,-1509,-40,-724,-567,14,-18,-14,377.2682
161974532,3488,1874,-1535,-60,-711,-585,14,-18,-14,377.25775
161979532,3490,1879,-1543,-65,-694,-598,16,-15,-19,377.2588
161984532,3482,1893,-1538,-74,-675,-612,16,-15,-19,377.25253
161989532,3527,1885,-1594,-73,-646,-626,15,-16,-16,377.23117
161994532,3533,1928,-1583,-62,-616,-637,15,-16,-16,377.22958
161999532,3503,1885,-1622,-48,-571,-638,17,-16,-18,377.25253
162004532,3505,1901,-1586,-21,-534,-646,17,-16,-18,377.27393
162009532,3488,1909,-1609,5,-503,-642,14,-18,-16,377.26715
162014532,3487,1894,-1610,33,-469,-644,14,-18,-16,377.29947
162019532,3456,1911,-1572,68,-425,-650,14,-17,-18,377.27078
162024532,3409,1907,-1560,106,-392,-657,14,-17,-18,377.29007
162029532,3356,1897,-1491,140,-367,-663,14,-19,-17,377.27548
162034532,3303,1898,-1471,176,-355,-668,14,-19,-17,377.26715
162039532,3292,1873,-1443,210,-370,-680,14,-17,-16,377.29166
162044532,3308,1860,-1448,245,-396,-695,14,-17,-16,377.2927
162049532,3334,1888,-1438,280,-407,-716,14,-18,-15,377.2682
162054532,3279,1876,-1476,308,-416,-735,14,-18,-15,377.23743
162059532,3339,1894,-1526,343,-431,-752,13,-17,-16,377.2468
162072532,3449,1958,-1700,433,-429,-800,14,-17,-17,377.21185
162074532,3449,1958,-1700,433,-429,-800,14,-17,-17,377.21185
162076532,3503,1987,-1750,462,-391,-806,14,-17,-17,377.2077
162079532,3503,1987,-1750,462,-391,-806,14,-17,-19,377.2077
162084532,3492,1994,-1787,492,-341,-812,14,-17,-19,377.2103
162089532,3503,2036,-1799,512,-281,-803,14,-17,-16,377.24835
162094532,3457,2022,-1812,530,-231,-792,17,-18,-16,377.20093
162099532,3447,2058,-1791,536,-185,-776,17,-18,-16,377.166
162104532,3448,2072,-1764,536,-147,-757,15,-17,-16,377.16336
162109532,3468,2056,-1764,532,-116,-738,15,-17,-16,377.166
162114532,3425,2086,-1745,520,-86,-714,17,-18,-14,377.16962
162119532,3408,2050,-1698,503,-64,-686,17,-18,-14,377.18268
162124532,3397,2036,-1687,487,-45,-659,14,-18,-20,377.20926
162129532,3395,2002,-1682,468,-31,-632,14,-18,-20,377.2249
162134532,3446,2006,-1673,444,-4,-607,11,-16,-16,377.19467
162139532,3487,1992,-1744,430,37,-584,11,-16,-16,377.21603
162144532,3497,1995,-1717,406,83,-558,15,-18,-17,377.25253
162149532,3492,1967,-1690,394,131,-536,15,-18,-17,377.2249
162154532,3473,1979,-1653,376,177,-510,15,-19,-16,377.21448
162159532,3496,1984,-1670,361,216,-486,15,-19,-16,377.22385
162167532,3541,1994,-1643,334,299,-447,15,-17,-18,377.24316
162169532,3541,1994,-1643,334,299,-447,15,-17,-18,377.24316
162174532,3545,1979,-1644,319,352,-426,14,-18,-15,377.25516
162179532,3531,1997,-1619,311,404,-397,14,-18,-15,377.27704
162184532,3528,1978,-1567,301,442,-371,14,-18,-17,377.24316
162189532,3557,1973,-1514,294,475,-339,14,-18,-17,377.20926
162194532,3533,1961,-1493,285,501,-303,14,-20,-15,377.2223
162199532,3511,1930,-1466,282,533,-267,14,-20,-15,377.19986
162204532,3496,1915,-1383,284,558,-229,13,-17,-15,377.1983
162209532,3498,1925,-1406,288,579,-190,13,-17,-15,377.19308
162214532,3552,1895,-1382,295,596,-149,13,-19,-16,377.20352
162219532,3562,1883,-1344,305,616,-104,13,-19,-16,377.1983
162224532,3550,1856,-1339,321,631,-65,13,-19,-15,377.19986
162229532,3588,1851,-1287,333,631,-30,15,-17,-15,377.20093
162234532,3634,1848,-1274,354,623,2,15,-17,-15,377.18893
162239532,3626,1790,-1229,371,625,30,13,-16,-14,377.18893
162244532,3600,1759,-1195,401,625,49,13,-16,-14,377.23743
162249532,3588,1736,-1168,424,621,63,15,-18,-16,377.25516
162254532,3603,1696,-1149,450,611,70,15,-18,-16,377.26556
162259532,3662,1654,-1162,483,596,70,12,-18,-15,377.25775
162267532,3664,1606,-1113,561,587,56,13,-19,-13,377.25775
162269532,3664,1606,-1113,561,587,56,13,-19,-13,377.227
162274532,3715,1607,-1111,606,583,46,13,-19,-13,377.19986
162279532,3743,1619,-1114,652,580,36,13,-19,-13,377.1957
162284532,3727,1587,-1069,689,580,30,13,-19,-13,377.21866
162289532,3745,1612,-1106,726,579,24,14,-20,-13,377.24576
162294532,3770,1632,-1076,758,569,23,14,-20,-13,377.24316
162299532,3806,1638,-1109,785,562,31,12,-20,-15,377.22125
162304532,3821,1660,-1098,811,556,39,12,-20,-15,377.2588
162309532,3779,1668,-1135,818,560,52,15,-21,-15,377.22385
162314532,3781,1681,-1085,823,560,69,15,-21,-15,377.23898
162319532,3778,1694,-1073,819,557,86,13,-19,-15,377.25253
162324532,3766,1701,-1072,807,538,103,13,-19,-15,377.2588
162329532,3738,1701,-1023,791,519,124,14,-19,-11,377.26193
162334532,3779,1732,-1000,774,488,135,14,-19,-11,377.26035
162339532,3767,1698,-981,755,464,141,13,-21,-13,377.27234
162344532,3783,1703,-935,741,443,148,13,-21,-13,377.2682
162349532,3755,1686,-921,728,424,155,15,-21,-13,377.27234
162354532,3719,1667,-897,718,400,160,15,-21,-13,377.27966
162359532,3746,1685,-875,704,377,166,15,-17,-12,377.26715
162367532,3708,1688,-881,682,333,193,12,-17,-12,377.23117
162369532,3708,1688,-881,682,333,193,12,-17,-12,377.2348
162374532,3711,1694,-907,667,317,218,12,-18,-13,377.2588
162379532,3727,1708,-942,650,301,247,12,-18,-13,377.2249
162384532,3740,1700,-923,626,285,281,14,-19,-14,377.24158
162389532,3744,1731,-954,605,274,322,14,-19,-14,377.22855
162394532,3727,1741,-941,580,261,358,14,-19,-12,377.19727
162399532,3719,1739,-923,544,245,395,14,-19,-12,377.24054
162404532,3724,1726,-941,509,228,433,13,-17,-13,377.25098
162409532,3702,1721,-886,477,209,463,13,-17,-13,377.27393
162414532,3655,1699,-880,436,184,487,11,-20,-12,377.26297
162419532,3653,1676,-859,396,153,498,11,-20,-12,377.28748
162424532,3673,1651,-917,366,128,512,14,-20,-14,377.31302
162429532,3651,1645,-923,331,123,515,14,-20,-14,377.26715
